scenario_id;actor_fk;technology_fk;vulnerability_fk;description;probability;qonsequence;risk_value
52375f11-0208-496c-b046-2f21539ffe93;ee1bc263-7096-45e5-adc3-d8111e7fbadc;b1294409-5653-4f70-b2a2-8dc7db5c46fa;8c5645d7-2bb3-470b-984f-c49337c96507;success;78898;1039;25329
424442ed-dff4-4e9a-b4ce-1bfdcd1b95d0;75f3d980-d45b-43c9-9556-29ce75086b2d;583e8021-28fe-4ca8-9446-d944ae305fff;c8aa7b23-20b4-4243-b8f3-1371f8d4cf0d;Rubber Bike violet;41343;99074;81321
e0a61597-d981-4b64-9252-ae438e8d0339;9193e367-ce3d-4e5a-b48a-7a330f9c0f44;844e1b90-3d5d-4c6b-ae4b-6b204beb6b45;3a80b6d3-4478-4525-90cf-1dc12c169d1a;Incredible Paraguay Brand;23901;73295;47467
43fdc424-b3d7-41c5-bffe-c28445a86a8c;f8e187eb-4d84-4ce9-b9c6-121db1d955de;cbc41051-0ceb-41aa-89cd-6d2a9f64d356;bb729444-2f30-452e-af1d-d0fb1c221848;Fresh Representative Account;89454;20621;68802
bf93eae3-206d-4bb9-aae0-285737e0699c;7451a6e4-6a26-4e0e-b3a5-fd45d51a01d0;23553fa6-fc02-4787-98da-b9a134e4cd51;d7f1b60a-805b-4c23-a2e0-797b74b6962a;Representative Distributed;36737;44280;33937
752c11a5-8659-464a-b697-ccce8cf6f647;79bde901-c956-4ec1-a119-10a73bf5bca0;a3bac4cb-3588-44bb-ba4a-6a213683adf5;3c5b68f1-2d0a-4fe0-ba9c-2094c61954ca;withdrawal;17999;3414;73792
5a9083a5-cfbf-4e9d-aab1-b2690c245d4c;5faa61e0-6ac6-4c05-8491-ffb2aa53cbd9;14df3863-7cf7-4a13-a96a-60380a7b4080;a132b335-dc33-4202-8bcd-018e8623378f;primary;4597;34872;66026
b0895a8d-f22a-40e2-8040-148a718516c4;e5242e8c-baef-409c-96c7-313f83b59a3c;19399b35-9d1a-4d21-a647-da552f321609;31e058e1-0637-421c-8000-2927fdabf4b0;Solutions Borders Island;42995;47320;15432
05f3a37f-61ad-434f-ab1c-fb0bc6707b2a;7da9985b-884d-463c-8771-6a33fc262d3e;2631f455-34ee-47e3-96be-2e5f1d95166c;627fd67f-1515-480b-b40c-3d080505f9b8;Concrete Motorway;14950;88803;99069
603416f9-32a5-476a-85df-37315909e9ff;bb2da7e2-d524-4b9e-998c-a381278cd583;c073237c-dff6-4a5c-9827-270e543d9e70;2016b722-0e74-4069-abb2-8efecf362ece;supply-chains orange Steel;57008;69905;50397
